datetime,water_level_m
2026-09-07 00:00,0.15
2026-09-07 00:10,0.15
2026-09-07 00:20,0.15
2026-09-07 00:30,0.15
2026-09-07 00:40,0.15
2026-09-07 00:50,0.15
2026-09-07 01:00,0.15
2026-09-07 01:10,0.15
2026-09-07 01:20,0.15
2026-09-07 01:30,0.15
2026-09-07 01:40,0.15
2026-09-07 01:50,0.15
2026-09-07 02:00,0.15
2026-09-07 02:10,0.15
2026-09-07 02:20,0.15
2026-09-07 02:30,0.15
2026-09-07 02:40,0.15
2026-09-07 02:50,0.15
2026-09-07 03:00,0.15
2026-09-07 03:10,0.15
2026-09-07 03:20,0.15
2026-09-07 03:30,0.15
2026-09-07 03:40,0.15
2026-09-07 03:50,0.15
2026-09-07 04:00,0.15
2026-09-07 04:10,0.15
2026-09-07 04:20,0.15
2026-09-07 04:30,0.15
